"PolicyNum","Year","Premium","Deduct","BCcov","Freq","Fire5","NoClaimCredit","EntityType","AlarmCredit","BCClaim"
120023,2010,21036,1000,65739367,2,1,0,3,4,16424.49
120024,2009,10679,10000,23731498,4,0,0,3,1,5432.29
120024,2010,14285,5000,34840494,0,0,0,3,4,0
120025,2006,27169,500,46048119,3,1,0,3,1,14327.12
120025,2007,24617,500,49233619,0,1,0,3,4,0
120025,2008,26474,500,51909998,2,1,0,3,4,624.85
120025,2009,28854,500,54441728,1,1,0,3,4,376255.81
120025,2010,29045,500,64542605,3,1,0,3,4,11391.53
120026,2006,46950,500,66127182,5,0,0,3,4,12048.91
120026,2007,35682,2500,71365462,4,0,0,3,4,16487.11
120026,2008,36277,2500,75576654,7,0,0,3,4,90932.6
120026,2009,38790,2500,79162253,4,0,0,3,4,6636.19
120026,2010,34851,2500,85003637,2,0,0,3,4,70561.27
120027,2006,13196,5000,21634190,0,0,0,3,1,0
120027,2007,11232,5000,23402531,0,0,0,3,1,0
120027,2008,11550,5000,25108004,1,0,1,3,1,174518.44
120027,2009,12595,5000,26238226,0,0,0,3,2,0
120027,2010,13811,5000,32882702,0,0,0,3,4,0
120028,2006,77808,5000,169148795,2,1,0,3,4,22015
120028,2007,63540,5000,186884087,0,1,0,3,4,0
120028,2008,65722,5000,193302920,0,1,0,3,4,0
120028,2009,66750,5000,196322125,1,1,1,3,4,12875
120028,2010,60774,5000,209567808,1,1,0,3,4,66931.96
120029,2009,13261,10000,41440541,0,1,0,3,1,0
120029,2010,11950,5000,51956716,7,1,0,3,4,32828.12
120030,2006,383297,50000,1916482297,100,1,0,3,4,5047367.54
120030,2007,373359,50000,2074216536,157,1,0,3,4,1855679.59
120030,2008,393150,50000,2184168823,67,1,0,3,4,1459481.92
120030,2009,412328,50000,2290709661,228,1,0,3,4,2160411.07
120030,2010,391168,50000,2444796980,103,1,0,3,4,4920530.65
120032,2006,11366,1000,28416083,1,1,0,3,1,19714.09
120032,2007,10385,1000,30544157,0,1,0,3,1,0
120032,2008,10752,1000,32580637,2,1,0,3,1,5366.77
120032,2009,10845,1000,33890716,2,1,0,3,1,30722.54
120032,2010,10223,1000,36511265,1,1,0,3,4,2601.5
120033,2006,48961,2500,119417636,0,1,0,3,4,0
120033,2007,47653,2500,128793300,0,1,0,3,4,0
120033,2008,49153,2500,136537216,1,1,1,3,4,38568.02
120033,2009,50842,2500,141228192,1,1,0,3,4,8720.69
120033,2010,47683,2500,153815190,1,1,0,3,4,7536.73
120036,2006,69839,500,101216134,8,1,0,3,4,58004.7
120036,2007,67368,500,106932849,4,1,0,3,4,25819.98
120036,2008,68275,500,111927379,5,1,0,3,4,15195.01
120036,2009,62050,500,101721302,1,1,0,3,4,1185.9
120036,2010,47931,500,97819792,4,1,0,3,4,24862.73
120038,2006,113744,2500,206808178,5,1,0,3,4,29527.79
120038,2007,106992,2500,227642315,3,1,0,3,4,12959.55
120038,2008,98505,5000,240254975,3,1,0,3,4,32625.15
120038,2009,105370,5000,250878875,0,1,0,3,4,0
120038,2010,93980,5000,268515327,6,1,0,3,4,69066.78
120039,2006,12435,500,19130207,0,1,0,3,1,0
120039,2007,12118,500,20539436,2,1,0,3,4,6975.6
120039,2008,17805,500,30179731,3,1,0,3,4,16067.38
120039,2009,19067,500,31778548,1,1,0,3,4,64066
120039,2010,18563,500,33752361,2,1,0,3,4,20007.73
120040,2006,24620,25000,79422226,0,1,0,3,4,0
120040,2007,23904,25000,85374565,0,1,0,3,4,0
120040,2008,24254,25000,93283811,2,1,1,3,4,5942.35
120040,2009,24475,25000,97896606,1,1,0,3,4,1858.13
120040,2010,22939,25000,104265872,1,1,0,3,4,2117.43
120042,2009,20442,10000,38569210,2,0,0,3,3,1923.3
120042,2010,24102,10000,65140348,1,0,0,3,4,623
120043,2006,20832,2500,43399520,0,1,0,3,4,0
120043,2007,18773,2500,46932258,2,1,0,3,4,3065.95
120043,2008,20822,2500,50786447,1,1,0,3,4,29398.15
120043,2009,19662,5000,53141137,2,1,0,3,4,17489.69
120043,2010,16280,5000,58142676,2,1,0,3,4,592.26
120044,2006,156096,500,177382307,2,1,0,3,4,9623.05
120044,2007,115936,500,186995079,1,1,0,3,4,2629
120044,2008,114802,500,197934829,6,1,0,3,4,47803.42
120044,2009,121499,500,209480521,5,1,0,3,4,6892.8
120044,2010,99097,1000,230458677,2,1,0,3,4,12602.85
120046,2006,22638,1000,29023426,2,0,0,3,4,1749.09
120046,2007,21385,1000,31449321,0,0,0,3,4,0
120046,2008,21450,1000,33001591,2,0,0,3,4,16476.89
120046,2009,22292,1000,35954269,1,0,0,3,4,2504
120046,2010,23988,1000,39325942,6,0,0,3,4,25175.55
120047,2006,25563,500,39328623,3,1,0,3,1,12009.72
120047,2007,26577,500,45823417,5,1,0,3,1,14334.42
120047,2008,27631,500,48473634,1,1,0,3,1,2922.71
120047,2009,32675,500,57325345,1,1,0,3,4,72336.83
120047,2010,41840,500,80463176,1,1,0,3,4,2825
120048,2006,29344,1000,63790723,3,1,0,3,4,3581.91
120048,2007,27960,1000,68195979,2,1,0,3,4,4147.54
120048,2008,29900,1000,74752051,1,1,0,3,4,1039
120048,2009,29324,1000,79251905,0,1,0,3,4,0
120048,2010,25507,1000,77295427,3,1,0,3,4,66224.39
120049,2006,34156,1000,65683842,2,1,0,3,1,10501.12
120049,2007,28689,1000,69974850,2,1,0,3,1,146554.24
120049,2008,31593,1000,75221199,2,1,0,3,1,5661
120049,2009,33081,1000,80686093,4,1,0,3,4,7423.81
120049,2010,26928,1000,74801112,4,1,0,3,4,1297
120050,2006,14987,1000,23790966,1,1,0,3,1,6337.15
120050,2007,12952,1000,24907948,0,1,0,3,1,0
120050,2008,12566,1000,27318222,2,1,0,3,1,18265.27
120050,2009,12117,1000,30293979,1,1,0,3,1,9102.19
120050,2010,11525,1000,29552442,1,1,0,3,4,10484.62
120051,2006,30505,25000,152524099,0,1,0,3,4,0
120051,2007,30623,25000,180137767,1,1,0,3,4,134128.98
120051,2008,32640,25000,217590806,0,1,0,3,4,0
120051,2009,34167,25000,227789226,1,1,0,3,4,159109.46
120051,2010,31505,25000,242337759,0,1,0,3,4,0
120053,2006,65956,2500,183213153,1,1,0,3,4,4837.23
120053,2007,59143,2500,184822080,4,1,0,3,4,108986.45
120053,2008,65986,2500,194077742,1,1,0,3,4,3625
120053,2009,52240,2500,208957606,4,1,0,3,4,81100.67
120053,2010,54065,2500,200242867,4,1,0,3,4,75831.34
120054,2006,20770,2500,45151836,0,1,0,3,1,0
120054,2007,19428,2500,47385365,2,1,0,3,1,108211.19
120054,2008,21980,2500,49955675,3,1,0,3,1,22958.39
120054,2009,19696,2500,53232224,0,1,0,3,1,0
120054,2010,21263,2500,53157029,0,1,0,3,4,0
120056,2006,22903,25000,99580601,3,1,0,3,4,4923.36
120056,2007,33737,5000,108828869,1,1,0,3,4,2720
120056,2008,24168,25000,115085753,2,1,0,3,4,25449
120056,2009,22864,25000,120336302,1,1,0,3,4,28884.85
120056,2010,23116,25000,144478083,3,1,0,3,4,21693.98
120057,2006,14498,500,19075113,4,0,0,3,4,11879.36
120057,2007,13989,500,19984027,1,0,0,3,4,1547.78
120057,2008,14130,500,21090566,1,0,0,3,4,18623.05
120057,2009,12667,500,22619188,2,0,0,3,4,548.95
120057,2010,13424,500,22005694,2,0,0,3,4,9378.5
120058,2006,27157,75000,208900636,8,1,0,3,4,34036.45
120058,2007,22193,75000,221936225,8,1,0,3,4,48697
120058,2008,24348,75000,221340135,10,1,0,3,4,61508.72
120058,2009,23523,75000,235228659,11,1,0,3,4,61690.48
120058,2010,17952,75000,224399640,6,1,0,3,4,18550.83
120059,2009,27964,2500,34955567,0,0,0,3,1,0
120059,2010,40324,2500,60184992,5,0,0,3,4,62146.01
120060,2006,19459,500,36036574,1,0,0,3,4,851
120060,2007,19793,500,38809840,4,0,0,3,4,30496.93
120060,2008,22474,500,40861512,3,0,0,3,4,5455.1
120060,2009,23705,500,43098531,2,0,0,3,4,5702.78
120060,2010,21475,500,45691908,2,0,0,3,4,12695.39
120063,2006,15036,1000,32686408,0,1,0,3,1,0
120063,2007,16329,1000,34742689,2,1,0,3,4,94077.17
120063,2008,15828,1000,37687253,1,1,0,3,4,2930
120063,2009,17141,1000,41806927,0,1,0,3,4,0
120063,2010,19212,1000,43664548,4,1,0,3,4,10552.35
120064,2006,7720,500,13542984,0,0,0,3,4,0
120064,2007,7325,500,14948471,1,0,0,3,4,849.83
120064,2008,6683,500,15911999,1,0,0,3,4,3409.94
120064,2009,7634,500,16596770,0,0,0,3,4,0
120064,2010,7045,500,17610933,0,0,0,3,4,0
120065,2009,13711,10000,24928525,0,1,0,3,4,0
120065,2010,22431,10000,48765148,3,1,0,3,4,9195.44
120067,2006,154639,500,262098980,14,1,0,3,1,135885.44
120067,2007,173428,500,321162903,18,1,0,3,4,180773.78
120067,2008,131832,5000,338030103,14,1,0,3,4,97481.3
120067,2009,139166,5000,356837467,18,1,0,3,4,75109.39
120067,2010,122358,5000,382369780,17,1,0,3,4,123063.63
120069,2006,81842,10000,209851398,2,1,0,3,4,30394.32
120069,2007,76779,10000,225820073,0,1,0,3,4,0
120069,2008,75954,10000,237356875,2,1,0,3,4,19705.77
120069,2009,78128,10000,260427944,0,1,0,3,4,0
120069,2010,74525,10000,276018058,1,1,0,3,4,18575.14
120070,2009,29042,25000,76425407,12,1,0,3,4,24806.58
120070,2010,26192,25000,119052956,9,1,0,3,4,12969.4
120072,2006,48015,500,81379631,0,1,0,3,4,0
120072,2007,46381,500,89192349,3,1,0,3,4,4745
120072,2008,49964,500,94272090,1,1,0,3,4,4645
120072,2009,54474,500,99042605,4,1,0,3,4,14462.64
120072,2010,51736,500,107783629,3,1,0,3,4,11780.37
120073,2009,31714,50000,137887431,21,1,0,3,4,446736.39
120073,2010,34010,50000,242932380,39,1,0,3,4,69943.8
120074,2006,31375,500,45470231,3,0,0,3,4,17536.95
120074,2007,29695,500,47135556,4,0,0,3,4,13169.27
120074,2008,31590,500,50142349,1,0,0,3,4,3726.07
120074,2009,32939,500,52285534,2,0,0,3,4,627427.27
120074,2010,28212,500,50378029,3,0,0,3,4,10489.87
120076,2006,16869,500,22794543,5,0,0,3,4,16412.96
120076,2007,16373,500,24437415,7,0,0,3,4,113324.1
120076,2008,16460,500,25718457,1,0,0,3,4,4315.02
120076,2009,17264,500,26975507,2,0,0,3,4,1772.83
120076,2010,16097,500,28744859,4,0,0,3,4,13789.93
120077,2006,42304,500,62212044,2,1,0,3,4,8838.42
120077,2007,40775,500,66844403,0,1,0,3,4,0
120077,2008,42343,500,70570627,1,1,0,3,4,4335.33
120077,2009,42359,500,71794512,2,1,0,3,4,2502
120077,2010,40627,500,76654500,5,1,0,3,4,16932.94
120079,2006,26418,500,40642917,3,0,0,3,4,20673.35
120079,2007,25249,500,42796034,2,0,0,3,4,7190
120079,2008,25657,500,45815034,1,0,0,3,4,1848.63
120079,2009,26535,500,48246328,4,0,0,3,4,6557.96
120079,2010,26068,500,51114523,6,0,0,3,4,112697.76
120082,2006,5436,10000,18117461,0,0,0,3,4,0
120082,2007,5328,10000,19026776,0,0,0,3,4,0
120082,2008,6361,10000,19876713,0,0,1,3,4,0
120082,2009,5224,10000,20894540,0,0,1,3,4,0
120082,2010,6291,10000,23296497,0,0,1,3,4,0
120083,2006,14307,500,16444372,1,1,0,3,1,6570
120083,2007,13317,500,17073340,3,1,0,3,1,10992.5
120083,2008,13687,500,18248919,1,1,0,3,1,1980
120083,2009,11622,500,19697296,2,1,0,3,1,12568.3
120083,2010,11959,500,18981590,0,1,0,3,4,0
120084,2006,41824,500,58906653,0,1,0,3,4,0
120084,2007,39712,500,63035621,0,1,0,3,4,0
120084,2008,39572,500,65954752,4,1,1,3,4,5753
120084,2009,40697,500,68976526,2,1,0,3,4,10896.01
120084,2010,44195,500,105228950,0,1,0,3,4,0
120086,2006,24881,1000,39493643,4,0,0,3,3,17966.2
120086,2007,25947,1000,42535261,3,0,0,3,3,15394.29
120086,2008,24808,1000,45104607,4,0,0,3,3,12828.58
120086,2009,26021,1000,48187110,5,0,0,3,4,37469.68
120086,2010,24413,1000,50860819,7,0,0,3,4,60974.97
120087,2006,44174,500,64962694,6,0,0,3,1,139880.33
120087,2007,41852,500,69753832,4,0,0,3,1,38126.27
120087,2008,46323,500,73528052,4,0,0,3,1,5273.1
120087,2009,48507,500,76995661,5,0,0,3,4,245626.57
120087,2010,45055,500,81918008,3,0,0,3,4,7125.64
120088,2006,5601,500,13025760,2,0,0,3,4,13107.48
120088,2007,5055,500,13660172,0,0,0,3,4,0
120088,2008,5179,500,14386292,0,0,0,3,4,0
120088,2009,5480,500,15223251,2,0,1,3,4,1982.83
120088,2010,5588,500,14704089,1,0,0,3,4,23546.23
120090,2009,4407,10000,13774205,0,0,0,3,1,0
120090,2010,6371,10000,27701728,0,0,0,3,4,0
120091,2006,53032,5000,165724060,3,0,0,3,1,82809.75
120091,2007,34187,5000,142443722,7,0,0,3,1,31529.78
120091,2008,36120,5000,150495436,4,0,0,3,1,22363.2
120091,2009,40305,5000,161220775,3,0,0,3,4,32258.77
120091,2010,43062,5000,172247261,2,0,0,3,4,121296.12
120092,2006,24118,500,33968236,8,0,0,3,4,18963.86
120092,2007,23345,500,37654143,3,0,0,3,4,1634.82
120092,2008,20713,2500,39832480,1,0,0,3,4,4672.08
120092,2009,20992,2500,40369742,2,0,0,3,4,6658.22
120092,2010,18123,2500,43147482,3,0,0,3,4,7728.24
120094,2006,18727,25000,64575846,0,1,0,3,4,0
120094,2007,18035,25000,69367448,1,1,0,3,4,7723
120094,2008,16091,25000,73139112,4,1,0,3,4,12711.05
120094,2009,18483,25000,77007997,1,1,0,3,4,1013.38
120094,2010,15542,25000,81806418,1,1,0,3,4,625
120095,2006,29964,500,74911433,6,1,0,3,4,19540
120095,2007,17310,15000,78683287,7,1,0,3,4,340189.29
120095,2008,19090,15000,83003978,4,1,0,3,4,24926.58
120095,2009,16789,15000,88359077,5,1,0,3,4,136982.16
120095,2010,16929,15000,84649403,2,1,0,3,4,13815.78
120097,2006,10089,25000,40357937,0,0,0,3,4,0
120097,2007,9523,25000,43286134,0,0,0,3,4,0
120097,2008,9633,25000,45867226,1,0,1,3,4,8702.06
120097,2009,10089,25000,48043041,0,0,0,3,4,0
120097,2010,9411,25000,52277824,5,0,0,3,4,104492.9
120099,2006,135519,5000,322664221,2,1,0,3,4,41000.57
120099,2007,125139,5000,347605606,0,1,0,3,4,0
120099,2008,128307,5000,366593677,8,1,0,3,4,267317.42
120099,2009,134610,5000,384597201,3,1,0,3,4,6555.27
120099,2010,134470,5000,448230262,14,1,0,3,4,142704.7
120100,2006,7364,500,9205614,3,0,0,3,4,7171.91
120100,2007,6448,1000,9624460,1,0,0,3,4,3176.05
120100,2008,6732,1000,10198532,0,0,0,3,4,0
120100,2009,5652,2500,10464862,2,0,0,3,4,19188.49
120100,2010,4542,2500,10093923,0,0,0,3,4,0
120103,2006,20996,25000,99981169,0,1,0,3,1,0
120103,2007,23038,25000,100162805,0,1,0,3,4,0
120103,2008,22346,25000,106407238,3,1,1,3,4,10445.97
120103,2009,23097,25000,109984411,0,1,0,3,4,0
120103,2010,19113,25000,112432908,2,1,0,3,4,68971.28
130010,2006,10780,2500,19961955,0,0,0,5,4,0
130010,2007,9982,2500,21237512,0,0,0,5,4,0
130010,2008,9399,2500,22378525,0,0,1,5,4,0
130010,2009,10197,2500,23714767,1,0,1,5,4,20640
130010,2010,12825,2500,34664158,0,0,0,5,4,0
130084,2006,8566,10000,11420812,0,0,0,5,4,0
130084,2007,8667,10000,12039046,0,0,0,5,4,0
130084,2008,9090,10000,12624931,0,0,1,5,4,0
130084,2009,8554,10000,13579105,0,0,1,5,4,0
130084,2010,8184,10000,13199546,1,0,1,5,4,3000
130099,2006,41603,500,75641841,1,0,0,5,3,7078.27
130099,2007,37499,500,79783847,1,0,0,5,3,4374.91
130099,2008,39320,500,83657386,2,0,0,5,3,5889.95
130099,2009,35700,500,87071447,3,0,0,5,3,6874.71
130099,2010,34391,500,83880215,3,0,0,5,4,97578.81
130170,2006,25774,5000,61367550,1,1,0,5,4,22799.41
130170,2007,26703,5000,65131623,2,1,0,5,4,19144
130170,2008,26783,5000,68674648,0,1,0,5,4,0
130170,2009,24895,5000,73218752,1,1,0,5,4,7717.21
130170,2010,23341,5000,70732463,0,1,0,5,4,0
130196,2006,8908,500,14366107,0,0,0,5,4,0
130196,2007,8276,500,15326604,1,0,0,5,4,933.93
130196,2008,8583,500,16192079,0,0,0,5,4,0
130196,2009,9007,500,16992864,0,0,0,5,4,0
130196,2010,7840,500,16682997,0,0,1,5,4,0
130198,2006,18891,5000,32017664,4,0,0,5,4,620
130198,2007,19573,5000,33746412,0,0,0,5,4,0
130198,2008,20568,5000,35462336,0,0,0,5,4,0
130198,2009,19072,5000,38144840,0,0,1,5,4,0
130198,2010,19190,5000,36903325,0,0,1,5,4,0
130232,2006,32951,500,52303075,4,1,0,5,1,9888.5
130232,2007,35275,500,55117914,0,1,0,5,1,0
130232,2008,36438,500,56934403,0,1,0,5,4,0
130232,2009,35409,500,65572196,1,1,1,5,4,606
130232,2010,34840,500,63346186,0,1,0,5,4,0
130245,2006,16499,1000,24262935,2,0,0,5,1,87748.65
130245,2007,10956,1000,16352297,0,0,0,5,1,0
130245,2008,9258,1000,17144302,0,0,0,5,1,0
130245,2009,9862,1000,21916345,0,0,1,5,1,0
130245,2010,11502,1000,21299857,0,0,1,5,1,0
130427,2006,5338,500,11121041,0,0,0,5,1,0
130427,2007,5740,500,11715150,0,0,0,5,1,0
130427,2008,6017,500,12278590,1,0,1,5,1,4555.8
130427,2009,4695,1000,13037855,0,0,0,5,1,0
130427,2010,4563,1000,12678063,0,0,0,5,1,0
130431,2006,26241,10000,67285581,0,1,0,5,4,0
130431,2007,25066,10000,71619970,0,1,0,5,4,0
130431,2008,25616,10000,75342823,0,1,1,5,4,0
130431,2009,26402,10000,80005229,0,1,1,5,4,0
130431,2010,21521,10000,76862865,0,1,1,5,4,0
130474,2006,14742,500,15683278,2,0,0,5,2,11935.66
130474,2007,14288,500,16613659,4,0,0,5,2,25988.06
130474,2008,14383,500,17539451,2,0,0,5,2,8152.52
130474,2009,14778,500,18021379,1,0,0,5,2,500
130474,2010,13054,500,17405088,1,0,0,5,2,1950
130476,2006,29663,500,47084703,3,0,0,5,3,2277.7
130476,2007,23506,2500,51101358,0,0,0,5,3,0
130476,2008,24813,2500,53943252,0,0,0,5,3,0
130476,2009,28031,2500,57206663,1,0,1,5,3,5582.88
130476,2010,25274,2500,61642992,1,0,0,5,4,3140
130490,2006,9977,500,15588709,1,0,0,5,2,30911
130490,2007,9459,500,16595682,2,0,0,5,2,8048.95
130490,2008,9446,500,17491834,0,0,0,5,2,0
130490,2009,10075,500,18657722,2,0,0,5,2,14761.26
130490,2010,8832,500,18024994,1,0,0,5,2,3397.85
130616,2006,6797,1000,9996766,1,0,0,5,4,7770.35
130616,2007,6420,1000,10700900,0,0,0,5,4,0
130616,2008,6900,1000,11312062,0,0,0,5,4,0
130616,2009,7169,1000,11949085,0,0,1,5,4,0
130616,2010,5684,1000,11600796,1,0,1,5,4,3351.7
130637,2006,20681,5000,30867630,0,1,0,5,4,0
130637,2007,18158,5000,32424387,0,1,0,5,4,0
130637,2008,18451,5000,34170108,0,1,1,5,4,0
130637,2009,16736,5000,36384657,0,1,1,5,4,0
130637,2010,16238,5000,35302277,0,1,1,5,4,0
130658,2006,39009,500,48761224,0,0,0,5,4,0
130658,2007,38922,1000,51896529,0,0,0,5,4,0
130658,2008,41160,1000,56383773,1,0,1,5,4,2864
130658,2009,41379,1000,59114681,0,0,0,5,4,0
130658,2010,34839,1000,58065881,0,0,0,5,4,0
130660,2006,3788,500,5335416,0,0,0,5,4,0
130660,2007,3895,500,5646435,0,0,0,5,4,0
130660,2008,4094,500,5933634,0,0,1,5,4,0
130660,2009,3450,1000,6389788,0,0,1,5,4,0
130660,2010,3469,1000,6195835,0,0,1,5,4,0
130714,2006,108812,5000,226691664,1,1,0,5,3,123914.04
130714,2007,104970,5000,238569376,0,1,0,5,3,0
130714,2008,107809,5000,250720103,0,1,0,5,3,0
130714,2009,93438,5000,266964480,1,1,1,5,4,15000
130714,2010,108815,5000,310898670,10,1,0,5,4,79252.62
130716,2006,14466,5000,36165118,2,1,0,5,1,22772.5
130716,2007,15270,5000,38174233,0,1,0,5,1,0
130716,2008,16067,5000,40167547,0,1,0,5,1,0
130716,2009,14859,5000,42452331,0,1,1,5,1,0
130716,2010,14662,5000,40728381,0,1,1,5,4,0
130721,2006,19560,2500,45488458,0,1,0,5,4,0
130721,2007,19642,2500,47908280,0,1,0,5,4,0
130721,2008,19052,2500,45361918,0,1,1,5,4,0
130721,2009,18646,2500,49065787,1,1,1,5,4,15881.71
130721,2010,18173,2500,46596426,2,1,0,5,4,140244.37
130840,2006,9717,2500,10449010,0,0,0,5,2,0
130840,2007,9907,2500,11007957,0,0,0,5,2,0
130840,2008,10384,2500,11537789,0,0,1,5,2,0
130840,2009,9780,2500,12379408,0,0,1,5,2,0
130840,2010,9377,2500,12022636,0,0,1,5,2,0
130910,2006,41724,2500,54901088,0,0,0,5,2,0
130910,2007,37402,2500,58439549,1,0,0,5,2,25918.09
130910,2008,37567,5000,61584347,0,0,0,5,2,0
130910,2009,39379,5000,65631886,0,0,0,5,2,0
130910,2010,32992,5000,63446269,0,0,1,5,2,0
130911,2006,27022,10000,43583909,1,1,0,5,4,22500
130911,2007,26994,10000,45752712,0,1,0,5,4,0
130911,2008,27972,10000,48227961,1,1,0,5,4,71071.24
130911,2009,29359,5000,51506043,0,1,0,5,4,0
130911,2010,27877,5000,49778069,1,1,0,5,4,23119.45
130916,2006,12914,5000,25320920,0,1,0,5,3,0
130916,2007,13288,5000,26574648,1,1,0,5,3,17094.28
130916,2008,13997,5000,27994232,0,1,0,5,3,0
130916,2009,13075,5000,29716148,0,1,0,5,3,0
130916,2010,12942,5000,28761520,0,1,1,5,3,0
131050,2006,43630,2500,89041200,0,1,0,5,3,0
131050,2007,45368,2500,94517764,0,1,0,5,3,0
131050,2008,47067,2500,100143689,0,1,1,5,3,0
131050,2009,39475,2500,106687575,1,1,1,5,3,37837.34
131050,2010,42398,2500,103410070,0,1,0,5,4,0
131088,2006,21312,5000,54645037,0,1,0,5,4,0
131088,2007,21253,5000,57442713,0,1,0,5,4,0
131088,2008,22353,5000,60413295,0,1,1,5,4,0
131088,2009,20531,5000,64159007,0,1,1,5,4,0
131088,2010,19727,5000,61645191,0,1,1,5,4,0
131102,2006,8007,2500,15701006,0,0,0,5,1,0
131102,2007,8768,2500,16542249,0,0,0,5,1,0
131102,2008,9195,2500,17347492,0,0,1,5,2,0
131102,2009,8559,2500,18605335,0,0,1,5,2,0
131102,2010,8507,2500,18099985,0,0,1,5,2,0
131112,2006,38981,5000,74963888,1,1,0,5,4,1991.6
131112,2007,41806,5000,78880117,0,1,0,5,4,0
131112,2008,44303,5000,83589415,0,1,0,5,4,0
131112,2009,40664,5000,88397390,0,1,1,5,4,0
131112,2010,38083,5000,84628804,0,1,1,5,4,0
131155,2006,30521,1000,27250992,1,1,0,5,1,2032.62
131155,2007,30323,1000,28606345,0,1,0,5,1,0
131155,2008,31054,1000,30149186,0,1,0,5,1,0
131155,2009,28230,1000,32079305,1,1,1,5,1,2311.86
